,id,name,hair,birth_date,race_result,debut_weight,sales_price,relatives
504,2015103696,リンクスナナ,栗毛,2015/3/2,0-2-2-6,462.0,,エスシージン、リアライズカレボの2016
505,2015104921,アロハリリー,青鹿毛,2015/2/2,1-2-0-0,442.0,,ハワイアンウインドの2017
506,2015102644,カフェアトラス,鹿毛,2015/3/10,1-1-1-1,510.0,,カフェアルカノ、カフェヴォランテ
507,2015102743,クリノクーニング,鹿毛,2015/4/17,1-0-0-2,458.0,,クリノカンパニー
508,2015102754,ショウナンアンビル,栗毛,2015/3/12,1-1-1-4,438.0,,トゥルーハート、マンハッタンガビー
509,2015104867,タッチアコード,芦毛,2015/3/17,1-2-0-0,458.0,,アジアンテースト、タッチミーベイブの2017
510,2015102163,テイエムリボー,青鹿毛,2015/2/24,1-1-0-3,480.0,820,ワイルドコンコルド、ルージュ
511,2015102558,トウカイオルデン,鹿毛,2015/4/24,1-1-2-3,474.0,,トウカイレーヌ、トウカイメジャー
512,2015101786,ニシノキントウン,黒鹿毛,2015/3/27,1-0-3-4,436.0,,ニシノルックミー、ニシノモレッタの2017
513,2015103949,パキュートハート,鹿毛,2015/4/23,1-1-1-0,514.0,648,タイセイサニー、キャントセイワーズの2017
514,2015100745,フィルハーモニー,黒鹿毛,2015/3/17,1-0-0-7,500.0,,マイネルアトラクト、マイネフェニーチェ
515,2015105411,ホウオウスクラム,栗毛,2015/4/22,1-0-3-3,492.0,,シルヴァーコード、ネイティヴコード
516,2015102316,マイネルサイルーン,黒鹿毛,2015/3/13,1-0-0-3,426.0,540,ロードシュプリーム、ロードブレイド
517,2015100751,マイネルプリンチペ,黒鹿毛,2015/3/12,0-3-2-0,446.0,,マイネルクロニクル、マイネプリンセスの2017
518,2015101036,マルターズルーメン,栗毛,2015/1/15,1-0-3-2,418.0,,マルターズコメット、ブラッシングスター
519,2015102815,メイショウテツワン,鹿毛,2015/4/19,1-2-0-0,494.0,,メイショウジーク、メイショウゴウヒメの2016
520,2015103798,メテオバローズ,鹿毛,2015/3/12,3-2-0-1,472.0,,エンジェルツイートの2017
521,2015103392,モルフェオルフェ,鹿毛,2015/3/27,1-1-1-5,412.0,2268,スマッシュの2016、スマッシュの2017
522,2015106325,ブルベアジネンジョ,栗毛,2015/4/14,1-0-1-8,450.0,712,ワイングラスの2016
523,2015104683,ナラトゥリス,黒鹿毛,2015/2/2,1-0-2-2,446.0,,ダノンエトワール、ニュープロローグ
524,2015104481,アドバンスマルス,鹿毛,2015/5/29,1-1-1-4,508.0,,リトルゲルダ、ビジューブランシュ
525,2015102330,イセベル,鹿毛,2015/2/21,0-4-1-4,444.0,,ベルフィーチャー、ケイアイカイト
526,2015104680,キングスヴァリュー,栗毛,2015/1/30,1-2-0-3,486.0,,タップザット、ジュンテオドーラ
527,2015106054,デイジーカーニバル,鹿毛,2015/4/11,3-0-0-1,488.0,,アーブル、ナムラモンブラン
528,2015102249,フレアリングダイヤ,黒鹿毛,2015/5/19,4-3-7-7,490.0,,フレアリングスター、フレアリングピュアの2017
529,2015101105,トーセンスーリヤ,栗毛,2015/4/4,1-1-1-6,460.0,,スイートクールアイ、プレベール
530,2015103967,ニシノジャガーズ,鹿毛,2015/5/15,1-1-0-5,460.0,,タニノホウザン、アデリーヌ
531,2015102709,マッドドッグ,栗毛,2015/5/16,2-2-0-7,470.0,,ドンレッドローズ、イマジンジョン
532,2015104144,ブラゾンダムール,黒鹿毛,2015/2/7,1-0-0-4,482.0,,ギルデドアーマー、フィーユダムール
533,2015102046,マイウェイアムール,青鹿毛,2015/4/1,1-0-1-4,480.0,,キョウエイカルラ、バトルブリンディス
534,2015110027,アメリカンワールド,栗毛,2015/4/3,1-1-2-2,470.0,,
535,2015101257,エピックアン,芦毛,2015/2/8,1-0-0-3,496.0,,サクレディーヴァ、アルフヘイム
536,2015104860,スラッシュメタル,鹿毛,2015/2/16,1-0-0-5,440.0,,アドマイヤフィズ、ゼマティスの2014
537,2015101074,ナムラキヌ,鹿毛,2015/4/11,1-2-2-5,450.0,,ナムラビクター、ナムラアラシ
538,2015103253,レオハイスピード,鹿毛,2015/4/21,3-3-1-4,432.0,756,コウエイレディーの2016、コウエイレディーの2017
539,2015101571,コンパウンダー,黒鹿毛,2015/3/1,1-1-1-1,468.0,,ファーマシスト、アポセカリーの2016
540,2015103138,サンティーニ,栗毛,2015/3/27,1-2-1-2,504.0,,インカンテーション、ソルモンターレ
541,2015104699,フレッチア,青鹿毛,2015/4/6,1-1-1-0,484.0,6696,アドマイヤキャンサ、ヴィアメディチの2017
542,2015104006,マリームーン,栃栗毛,2015/4/14,1-0-2-3,470.0,,ハンソデバンド、ウェンブリー
543,2015100589,ヤマニンレジスタ,栗毛,2015/3/23,1-1-0-4,478.0,,ヤマニンベルベーヌ、ヤマニンミルラ
544,2015102551,ヴィグラスファイア,鹿毛,2015/2/6,1-1-1-1,474.0,1134,ラスベガスシチー、キリキリマイヒメ
545,2015104612,テンワールドレイナ,栗毛,2015/2/24,1-0-2-4,462.0,756,マサハヤスター、デルマサンダユウ
546,2015101025,アポロレイア,鹿毛,2015/5/3,1-1-1-4,464.0,,アポロノシンザン、アポロノホウリン
547,2015101706,ティーカラット,黒鹿毛,2015/3/8,1-0-1-5,484.0,756,クラウンリリー、メジロクロユリの2016
548,2015104811,シュバルツボンバー,鹿毛,2015/2/21,1-0-0-3,502.0,,エックスマーク、ショウナンバーズ
549,2015101553,フランシスコダイゴ,鹿毛,2015/5/1,1-0-0-7,428.0,,ダヴィンチコード、ローズバーキン
550,2015104589,マサハヤニース,鹿毛,2015/4/26,1-1-0-6,476.0,864,ナリノパートナー
551,2015100673,コーラルリーフ,栗毛,2015/3/31,1-1-0-5,420.0,,フィスキオ、エクロジオン
552,2015101580,インターセクション,栗毛,2015/4/12,1-1-1-3,480.0,,レシュラー、ヴァインストリートの2016
553,2015110103,アポロテネシー,鹿毛,2015/3/10,1-1-1-1,496.0,,
554,2015104763,フォックスクリーク,黒鹿毛,2015/2/19,2-0-0-1,478.0,,キラウエア、ボレアス
555,2015103535,ロフティフレーズ,黒鹿毛,2015/4/2,1-1-0-2,444.0,,メリートーン、イリューム
556,2015101953,ビップレイジング,栗毛,2015/5/22,6-1-3-5,460.0,,エプソムスタウト、トミケンデフバール
557,2015102121,ヴオロス,栗毛,2015/4/23,2-3-1-5,553.0,680,シゲルクシロ、ノースフェスタ
558,2015100164,アルゴセイコウ,黒鹿毛,2015/3/15,1-0-2-3,470.0,,オーバーディリバー、ウインクリアビューの2017
559,2015104260,ガールズバンド,鹿毛,2015/2/20,1-0-2-3,448.0,,エレクトロニカ、ディーイストワール
560,2015104047,ドゥリトル,黒鹿毛,2015/4/24,1-0-2-7,472.0,1944,アウトライアーズ、マレーナ
561,2015110005,カポラヴォーロ,栗毛,2015/3/4,1-1-1-6,482.0,,
562,2015106131,キョウエイソフィア,鹿毛,2015/4/9,1-1-1-3,436.0,,キョウエイトリガーの2017
563,2015105065,ギルトエッジ,鹿毛,2015/1/22,1-1-1-0,532.0,,エッジースタイル、ブルークランズ
564,2015103793,ココロストライク,栗毛,2015/3/31,1-1-2-4,450.0,270,ウィンディ、ブルーリバティー
565,2015103228,スリーヘリオス,黒鹿毛,2015/4/22,1-1-1-6,464.0,2754,スリーミスヨハネス、リッコドンナ
566,2015110085,セイウンスパイ,栗毛,2015/3/28,1-0-1-4,500.0,,
567,2015100670,ドリームジャンボ,鹿毛,2015/4/11,0-3-0-6,476.0,151,クラウンドリーム、クーリア
568,2015101439,マリアバローズ,黒鹿毛,2015/3/3,1-0-0-4,428.0,,ハクサンムーン、ベイビーイッツユー
569,2015103089,ミコジェンヌ,栗毛,2015/4/28,1-1-0-4,442.0,162,メイショウクロス、メイショウケンザン
570,2015105561,ミルトシャトル,栗毛,2015/3/23,0-4-0-0,462.0,1641,ガンサリュート、ブリーズリー
571,2015106010,ユメイチズ,栗毛,2015/4/21,0-3-1-8,458.0,,マスソングウインド、ユメチョキン
572,2015104826,レディバード,鹿毛,2015/5/6,1-1-0-3,460.0,,ワンミリオンス、オールポッシブル
573,2015105852,ワールドヘリテージ,鹿毛,2015/3/26,1-1-1-1,446.0,,ヒロシゲグローリー、アンダーザシー
574,2015103371,サンニコーラ,栗毛,2015/5/25,2-0-3-1,465.0,,メイショウミチシオ、メイショウアレーナの2017
575,2015104974,ブレイニーラン,鹿毛,2015/3/6,0-3-2-0,438.0,,ローブティサージュ、ステイオンザトップ
576,2015102676,ランリーナ,芦毛,2015/2/8,1-0-1-7,444.0,939,キンショーユキヒメ、オメガオンリーワン
577,2015100654,スワーヴポルトス,鹿毛,2015/3/18,1-0-0-7,422.0,2268,キョウエイレガシー、エベレストテソーロ
578,2015101912,デルマカルヴァドス,鹿毛,2015/4/11,1-0-2-3,472.0,,デルマハンニャ、デルマブンザエモン
579,2015100355,ネコワシ,鹿毛,2015/3/8,1-0-2-3,502.0,,ローズベビークリス、ゴーストノート
580,2015105052,ボナヴィーゴ,黒鹿毛,2015/1/31,1-1-1-1,490.0,,ダブルバインド、ラッシュドリーマー
581,2015106173,レオコックブルー,黒鹿毛,2015/5/28,1-0-0-5,438.0,,ダイワスキャンプ、メイショウトキムネ
582,2015104243,アメリカンツイスト,鹿毛,2015/2/19,1-0-1-4,484.0,,ウイングレット、エオリアンハープ
583,2015102035,カフジフェニックス,芦毛,2015/3/28,1-0-1-4,464.0,,カフジホーク、カフジイーグル
584,2015102983,ミラクルブラッド,鹿毛,2015/2/20,1-1-0-5,466.0,,ヴィーヴァブーケの2017
585,2015101491,アポロアミ,鹿毛,2015/3/22,1-3-2-3,434.0,864,ヒーローメーカー、レゾンドールシチー
586,2015105100,エンジェルウィング,鹿毛,2015/4/19,1-1-0-4,516.0,,グリッターウイング、ポイマンドレース
587,2015101028,キルロード,鹿毛,2015/3/3,1-3-1-2,484.0,,ヤマノハヤブサ、キャロライン
588,2015101310,ゴライアス,青鹿毛,2015/3/5,1-0-2-0,494.0,1296,ライジングリーズン、グランフィデリオ
589,2015100528,タガノエルフ,黒鹿毛,2015/3/28,1-1-1-2,462.0,,タガノトネール、タガノエスプレッソ
590,2015105010,ハーツフェルト,栗毛,2015/2/12,1-1-0-4,456.0,4320,ジューヴルエール、ホウオウパフューム
591,2015105070,フラットレー,青鹿毛,2015/4/8,1-0-0-4,478.0,,バウンスシャッセ、ホーカーテンペスト
592,2015106183,ヤマカツケンザン,鹿毛,2015/3/14,0-2-2-5,522.0,,ヤマカツライデン、ヤマカツリーダー
593,2015102389,レネット,栗毛,2015/3/6,1-1-0-3,456.0,,ショウナンバローネ、ロードレグナム
594,2015101854,イランカラプテ,栗毛,2015/3/27,1-1-0-4,424.0,194,ヴァン、エムズガールの2017
595,2015100511,タガノヒバナ,栗毛,2015/2/24,1-1-0-4,474.0,,タガノマキアート、シャイニンバイパーの2016
596,2015100786,ブロンズケイ,黒鹿毛,2015/2/27,1-0-1-5,496.0,,クロスビーム
597,2015102371,ロードラナキラ,鹿毛,2015/3/14,1-1-0-3,446.0,,ロードシュタルク、エンジェリックレイの2017
598,2015101996,ビクトリアペガサス,芦毛,2015/5/17,2-2-0-4,458.0,,マルヒロナッツオー、ミラクルペガサス
599,2015104758,エリスライト,鹿毛,2015/2/10,1-0-0-1,432.0,,マリアライト、クリソライト
600,2015102095,クリノイダテン,青鹿毛,2015/5/31,1-0-0-2,438.0,,クリノワシントン、モエレエターナルの2017
601,2015104910,ハイヒール,鹿毛,2015/3/20,1-0-0-6,440.0,2700,クッカーニャ、ハドソンヤード
602,2015102403,ヒロシゲゴールド,青鹿毛,2015/5/6,1-0-0-7,462.0,2700,サンローズピンク、エフテーストライクの2017
