,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
91,o_8EVnFTTEFEe,小林百太郎,3,1,3,31,2,0,3,0,33,3,5,1,25,2,0.079,0.105,0.184,5201.0
92,o_4EVnNTTEFEN,大城敬三,3,1,3,20,3,0,7,0,17,3,13,1,14,2,0.111,0.148,0.259,5181.2
93,o_8ERFlXTEFEN,石瀬浩三,4,2,0,22,0,0,8,0,20,4,11,2,16,2,0.143,0.214,0.214,5167.0
94,o_8ERrJzTEF0d,クイーンズ・ランチ,0,2,2,5,6,0,2,0,1,0,5,0,4,0,0.0,0.222,0.444,5121.3
95,o_0ERnBzTEF0d,ラッキーフィールド,2,1,2,8,2,0,3,1,8,1,8,2,2,0,0.154,0.231,0.385,5082.3
96,o_8EVBFTTE1ke,吉冨学,4,0,4,42,1,0,6,1,43,3,11,0,38,4,0.08,0.08,0.16,5031.0
97,o_4ERrhXTE10d,藤田在子,1,0,3,28,5,0,4,1,23,0,9,0,23,1,0.031,0.031,0.125,5010.0
98,o_8ERVFTTE10d,田頭勇貴,3,3,4,78,1,0,12,1,75,2,42,2,45,1,0.034,0.068,0.114,4991.6
99,o_0keJh3TEF0d,友駿ホースクラブ,2,4,2,39,1,0,11,1,35,1,13,0,32,2,0.043,0.128,0.17,4844.6
100,o_4ERnlXTEFUe,水上行雄,2,4,5,32,0,0,8,1,35,1,9,1,31,1,0.047,0.14,0.256,4777.6
101,o_8EVNFTTEFke,加藤久枝,2,3,2,14,0,0,6,2,15,0,7,0,12,1,0.095,0.238,0.333,4714.8
102,o_0kerVTTEFUN,嶋田賢,3,4,3,20,2,0,6,1,22,2,19,3,11,0,0.1,0.233,0.333,4690.2
103,o_8ERVRzTEF0d,大塚亮一,4,3,5,38,1,0,10,0,39,4,19,1,31,3,0.08,0.14,0.24,4688.5
104,o_4ERJNTTE10d,前原敏行,3,3,3,17,0,0,7,1,19,2,15,2,11,1,0.115,0.231,0.346,4531.4
105,o_0ERBRzTEFke,原禮子,3,5,3,15,0,0,4,0,22,3,11,1,12,2,0.115,0.308,0.423,4475.0
106,o_4ERBFTTEFkM,礒野日出夫,1,1,2,7,3,1,0,0,8,0,4,1,7,0,0.091,0.182,0.364,4399.1
107,o_8ERZVTTEFkM,鈴木隆司,1,1,4,22,2,0,7,1,19,0,18,1,6,0,0.036,0.071,0.214,4391.6
108,o_0ERVl3TEFke,大迫久美子,3,1,1,13,0,0,6,1,12,2,4,0,11,2,0.167,0.222,0.278,4315.8
109,o_0ERZp3TEFke,いとはんホールディングス,1,1,4,13,4,0,6,0,9,1,7,0,12,1,0.053,0.105,0.316,4308.0
110,o_0ERBl3TEFke,キーファーズ,4,2,3,15,1,0,2,0,21,4,15,2,9,2,0.167,0.25,0.375,4291.0
111,o_4kajVzTEF0d,湘南,2,2,1,10,0,0,5,2,10,0,9,2,6,0,0.133,0.267,0.333,4288.2
112,o_0kajhXTEFEN,安原浩司,1,6,3,15,1,0,10,0,14,1,10,0,15,1,0.04,0.28,0.4,4186.8
113,o_4keJNTTEFEN,谷掛龍夫,2,7,3,13,1,0,3,0,21,2,10,1,15,1,0.08,0.36,0.48,4182.0
114,o_4ERNJzTEF0d,駒秀,1,0,0,2,3,1,0,0,0,0,3,1,0,0,0.333,0.333,0.333,4163.0
115,o_8ERJVzTEF0d,中村徳也,1,3,2,27,0,0,13,1,20,0,25,1,8,0,0.03,0.121,0.182,4111.4
116,o_8EVNd3TEF0d,バイオ,1,5,2,13,1,0,1,0,19,1,10,1,11,0,0.048,0.286,0.381,4055.6
