,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
329,1994109361,ブラックホーク,7,1,18,1,0,0,1,0,17,1,5,0,13,1,0.143,0.37,0.0,2100.0
330,000a011ff1,Cactus Ridge,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0.0,2.56,0.0,0.0
331,000a000d90,ホークアタック,2,1,8,1,1,0,4,0,3,1,7,1,1,0,0.5,1.27,2200.0,0.0
332,000a00fe92,Buddha,2,1,6,1,0,0,1,0,5,1,1,0,5,1,0.5,1.26,0.0,1800.0
333,1988101162,メイショウホムラ,5,0,14,0,0,0,1,0,13,0,0,0,13,0,0.0,0.5,0.0,0.0
334,000a00222c,Smoke Glacken,7,0,10,0,2,0,2,0,6,0,5,0,3,0,0.0,0.36,0.0,0.0
335,000a010545,Mineshaft,1,1,3,1,0,0,0,0,3,1,0,0,3,1,1.0,2.49,0.0,1800.0
336,000a0127d9,Spring At Last,1,1,2,1,0,0,1,0,1,1,1,0,1,1,1.0,2.49,0.0,1600.0
337,1995108126,ダイナマイトメール,1,1,3,1,0,0,0,0,3,1,0,0,3,1,1.0,2.49,0.0,1200.0
338,000a00fb8b,Sea of Secrets,2,1,5,1,0,0,1,0,4,1,2,0,3,1,0.5,1.23,0.0,1200.0
339,000a0018c5,Kings Lake,1,1,2,1,0,0,0,0,2,1,0,0,0,0,1.0,2.45,0.0,0.0
340,000a01056b,Loup Sauvage,1,1,3,1,0,0,0,0,3,1,3,1,0,0,1.0,2.45,2200.0,0.0
341,000a001ea2,Quiet American,5,0,11,0,0,0,1,0,10,0,3,0,6,0,0.0,0.49,0.0,0.0
342,000a010687,Congrats,2,1,4,1,0,0,0,0,4,1,1,0,3,1,0.5,1.18,0.0,2100.0
343,000a00fa49,Royal Anthem,1,1,2,1,0,0,0,0,2,1,0,0,2,1,1.0,2.36,0.0,1800.0
344,000a010a67,The Cliff's Edge,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1.0,2.36,0.0,1200.0
345,1988109108,スターオブコジーン,7,0,21,0,0,0,4,0,17,0,13,0,8,0,0.0,0.33,0.0,0.0
346,000a0022fb,Favorite Trick,3,0,5,0,0,0,3,0,2,0,5,0,0,0,0.0,0.77,0.0,0.0
347,000a000320,ソヴィエトスター,4,0,10,0,0,0,5,0,5,0,6,0,4,0,0.0,0.58,0.0,0.0
348,000a0113a0,Any Given Saturday,2,0,3,0,1,0,1,0,1,0,2,0,1,0,0.0,1.15,0.0,0.0
349,000a001b4d,Rainbow Quest,2,0,6,0,0,0,0,0,6,0,0,0,6,0,0.0,1.12,0.0,0.0
350,000a011651,Sahm,1,0,4,0,0,0,1,0,3,0,4,0,0,0,0.0,2.22,0.0,0.0
